                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79181,                 1.1923,                 1.0971,                0.87188,                0.78731,                0.90037,                0.74591,                0.62008,                0.81056,                0.96315,             0.00068526,             0.00068526,             0.00068526
                     36,                0.79054,                 1.1467,                 1.0802,                0.86076,                0.80157,                0.89103,                0.74558,                0.61917,                0.79274,                0.96828,             0.00068272,             0.00068272,             0.00068272
                     37,                0.76898,                 1.1058,                  1.078,                0.86838,                0.77883,                0.88716,                0.74267,                 0.6016,                0.77453,                0.94974,             0.00068018,             0.00068018,             0.00068018
                     38,                0.77177,                 1.1087,                 1.0949,                0.89033,                0.80843,                0.90908,                0.76836,                 0.5814,                0.73357,                0.94109,             0.00067764,             0.00067764,             0.00067764
                     39,                0.78077,                 1.1062,                 1.0821,                0.89464,                0.82941,                0.91824,                0.76936,                0.59926,                0.71275,                0.94689,             0.00067511,             0.00067511,             0.00067511
                     40,                0.78031,                 1.0982,                 1.0837,                0.88848,                0.81727,                0.91852,                0.76315,                0.59546,                0.72192,                0.95224,             0.00067257,             0.00067257,             0.00067257
                     41,                0.77081,                 1.0879,                 1.0809,                0.85893,                 0.8511,                0.92145,                0.77588,                0.57914,                0.69868,                0.93145,             0.00067003,             0.00067003,             0.00067003
                     42,                0.77756,                 1.0685,                  1.081,                0.87371,                0.81775,                0.90987,                  0.771,                0.57153,                0.72263,                0.93649,             0.00066749,             0.00066749,             0.00066749
                     43,                0.74486,                 1.0334,                 1.0633,                0.87679,                0.81683,                0.91634,                0.76756,                0.59924,                0.72586,                 0.9407,             0.00066495,             0.00066495,             0.00066495
                     44,                0.75959,                 1.0062,                 1.0583,                0.86518,                0.84392,                 0.9185,                0.77126,                0.58771,                0.69537,                0.94287,             0.00066242,             0.00066242,             0.00066242
                     45,                0.74534,                 1.0086,                 1.0576,                0.87947,                0.83074,                0.92557,                0.78063,                0.57115,                0.69427,                0.93368,             0.00065988,             0.00065988,             0.00065988
