                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74953,                 1.0577,                 1.0799,                0.87092,                0.83931,                0.91958,                0.78319,                0.56577,                0.66088,                0.94703,             0.00068526,             0.00068526,             0.00068526
                     36,                0.73397,                 1.0017,                 1.0685,                0.88613,                0.84501,                 0.9234,                 0.7909,                0.55603,                0.65518,                0.93746,             0.00068272,             0.00068272,             0.00068272
                     37,                0.72529,                 1.0025,                 1.0766,                0.90866,                0.85615,                0.93312,                0.79857,                0.54358,                0.61014,                0.93428,             0.00068018,             0.00068018,             0.00068018
                     38,                0.72191,                0.97311,                 1.0792,                0.91101,                0.87002,                0.94078,                0.81093,                0.54105,                0.59737,                0.93176,             0.00067764,             0.00067764,             0.00067764
                     39,                0.72644,                 0.9526,                 1.0677,                0.91963,                0.85216,                0.94699,                0.80203,                 0.5503,                0.62745,                0.93494,             0.00067511,             0.00067511,             0.00067511
                     40,                 0.7177,                0.95694,                 1.0677,                0.91482,                0.86769,                0.95058,                0.81824,                0.52858,                0.57554,                0.92184,             0.00067257,             0.00067257,             0.00067257
                     41,                0.72573,                0.92919,                 1.0728,                0.92998,                0.90608,                0.96125,                0.83791,                0.51988,                0.53285,                0.91147,             0.00067003,             0.00067003,             0.00067003
                     42,                0.72188,                0.91943,                 1.0668,                0.93968,                0.87192,                0.95631,                 0.8293,                 0.5196,                0.54768,                0.91152,             0.00066749,             0.00066749,             0.00066749
                     43,                0.68722,                0.88952,                 1.0474,                0.91378,                0.89164,                0.95804,                 0.8354,                0.51156,                0.54267,                0.91647,             0.00066495,             0.00066495,             0.00066495
                     44,                0.70048,                0.89068,                 1.0492,                 0.9347,                0.90225,                0.96497,                0.83299,                0.52125,                0.51746,                0.93133,             0.00066242,             0.00066242,             0.00066242
                     45,                0.68701,                0.86431,                 1.0475,                0.94002,                0.89893,                0.96668,                 0.8404,                0.51276,                0.50848,                0.91349,             0.00065988,             0.00065988,             0.00065988
                     46,                0.68921,                0.85116,                 1.0526,                0.92664,                0.89805,                0.95678,                0.83454,                0.50247,                0.51097,                0.90787,             0.00065734,             0.00065734,             0.00065734
                     47,                0.69096,                 0.8472,                 1.0464,                0.92825,                0.89224,                0.95782,                0.83605,                0.51319,                0.53569,                0.90698,              0.0006548,              0.0006548,              0.0006548
                     48,                0.67748,                0.82495,                 1.0447,                0.93526,                0.91362,                0.96799,                 0.8478,                0.50479,                0.49643,                0.90335,             0.00065227,             0.00065227,             0.00065227
                     49,                0.70283,                0.86265,                 1.0567,                0.94422,                0.92395,                0.97285,                0.85398,                0.49344,                0.48388,                0.90266,             0.00064973,             0.00064973,             0.00064973
                     50,                0.67523,                0.82832,                 1.0381,                0.95228,                0.90098,                0.96967,                0.85076,                 0.4987,                0.49271,                0.90216,             0.00064719,             0.00064719,             0.00064719
                     51,                0.66909,                0.80984,                 1.0484,                 0.9397,                0.92417,                0.97542,                0.86177,                0.48639,                0.46356,                0.89032,             0.00064465,             0.00064465,             0.00064465
                     52,                0.66779,                 0.8005,                 1.0411,                0.96216,                0.93771,                0.97711,                0.86688,                 0.4648,                0.43944,                0.88891,             0.00064212,             0.00064212,             0.00064212
                     53,                0.65975,                0.77842,                 1.0336,                0.93602,                0.88973,                0.96173,                 0.8476,                0.49176,                0.52095,                0.89627,             0.00063958,             0.00063958,             0.00063958
                     54,                0.66015,                0.78794,                 1.0335,                0.96945,                0.94341,                0.98113,                 0.8713,                0.46634,                0.42201,                0.87797,             0.00063704,             0.00063704,             0.00063704
                     55,                0.66257,                0.79097,                 1.0315,                0.96184,                0.92587,                0.97765,                0.87183,                0.45736,                0.42914,                0.87953,              0.0006345,              0.0006345,              0.0006345
                     56,                0.66889,                0.79266,                 1.0446,                0.94963,                0.94458,                0.97841,                0.87115,                0.46271,                0.43306,                0.87744,             0.00063196,             0.00063196,             0.00063196
                     57,                0.64807,                0.77924,                  1.032,                0.96385,                0.92981,                0.97646,                0.86023,                0.47403,                0.42725,                0.89013,             0.00062943,             0.00062943,             0.00062943
                     58,                0.64008,                0.74188,                 1.0196,                0.96019,                0.93998,                0.98118,                0.87507,                0.46326,                0.42188,                0.88159,             0.00062689,             0.00062689,             0.00062689
                     59,                0.62709,                0.75219,                  1.024,                0.93511,                0.92065,                0.96755,                0.85901,                0.47071,                0.45917,                0.88045,             0.00062435,             0.00062435,             0.00062435
                     60,                0.64677,                0.75139,                 1.0278,                0.96717,                0.93964,                0.98142,                0.87892,                0.45297,                0.40476,                0.87124,             0.00062181,             0.00062181,             0.00062181
                     61,                0.63253,                0.72705,                 1.0237,                0.96014,                0.94888,                0.98112,                0.87831,                0.45598,                0.41055,                0.87391,             0.00061928,             0.00061928,             0.00061928
                     62,                0.65718,                0.73986,                 1.0275,                0.97117,                0.95335,                0.98179,                0.87813,                0.45657,                0.39525,                0.86805,             0.00061674,             0.00061674,             0.00061674
                     63,                0.63093,                0.72137,                 1.0168,                0.96824,                0.93633,                0.97917,                0.88016,                0.44992,                0.41639,                 0.8719,              0.0006142,              0.0006142,              0.0006142
                     64,                0.61698,                0.69282,                 1.0173,                0.96597,                0.94527,                   0.98,                0.88153,                0.44294,                 0.3985,                0.87197,             0.00061166,             0.00061166,             0.00061166
                     65,                0.62863,                0.70958,                 1.0124,                0.96851,                0.95247,                 0.9837,                0.88308,                0.45075,                0.39419,                0.87385,             0.00060912,             0.00060912,             0.00060912
                     66,                0.63287,                0.72461,                 1.0227,                0.97001,                0.95427,                0.98324,                0.88714,                0.44195,                0.38844,                0.86913,             0.00060659,             0.00060659,             0.00060659
                     67,                0.62116,                0.68467,                 1.0195,                0.97591,                0.94727,                0.98462,                 0.8862,                 0.4433,                0.38847,                0.86506,             0.00060405,             0.00060405,             0.00060405
                     68,                0.60382,                 0.6691,                  0.996,                 0.9732,                0.95476,                0.98343,                0.88316,                0.43947,                0.38116,                  0.861,             0.00060151,             0.00060151,             0.00060151
                     69,                0.60797,                0.70802,                  1.009,                0.97307,                0.94679,                0.98342,                0.89515,                0.42872,                 0.3765,                0.85322,             0.00059897,             0.00059897,             0.00059897
                     70,                0.62734,                0.68531,                 1.0138,                0.97984,                0.94342,                0.98439,                 0.8885,                 0.4397,                0.37498,                0.86856,             0.00059644,             0.00059644,             0.00059644
                     71,                0.62826,                0.68937,                 1.0115,                0.97828,                0.95914,                0.98694,                0.89687,                0.43382,                0.36107,                0.86546,              0.0005939,              0.0005939,              0.0005939
                     72,                0.60639,                0.66954,                 1.0113,                0.96712,                0.95319,                0.98316,                0.88963,                0.44038,                0.37563,                0.86637,             0.00059136,             0.00059136,             0.00059136
                     73,                0.60404,                0.64935,                 1.0036,                0.98219,                0.95402,                0.98777,                0.90297,                0.42042,                 0.3484,                 0.8548,             0.00058882,             0.00058882,             0.00058882
