                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73155,                 1.1787,                 1.1102,                0.86494,                0.80496,                0.90218,                0.78022,                0.52695,                0.74178,                0.94818,             0.00068526,             0.00068526,             0.00068526
                     36,                 0.7391,                 1.1248,                  1.109,                0.86624,                0.83217,                0.91097,                0.77508,                0.55014,                0.70221,                0.95033,             0.00068272,             0.00068272,             0.00068272
                     37,                0.71372,                 1.1034,                    1.1,                 0.8462,                0.81572,                0.89929,                0.76823,                0.53008,                0.72316,                0.94106,             0.00068018,             0.00068018,             0.00068018
                     38,                0.72193,                 1.0974,                 1.1162,                0.86536,                0.81854,                0.90791,                0.78616,                0.51581,                0.68944,                0.93753,             0.00067764,             0.00067764,             0.00067764
                     39,                0.71377,                 1.0766,                 1.0969,                0.88734,                0.82498,                0.91187,                0.79044,                0.52255,                0.67558,                0.93551,             0.00067511,             0.00067511,             0.00067511
                     40,                0.70644,                 1.0617,                 1.0975,                0.84498,                  0.791,                0.89789,                 0.7727,                0.52364,                0.74756,                0.93596,             0.00067257,             0.00067257,             0.00067257
                     41,                0.69825,                 1.0524,                 1.0922,                0.90819,                0.84547,                0.93234,                0.80812,                0.51012,                0.62678,                0.92558,             0.00067003,             0.00067003,             0.00067003
                     42,                0.70763,                 1.0186,                 1.0955,                0.88915,                0.85832,                0.93769,                0.81953,                 0.4925,                0.60605,                0.91989,             0.00066749,             0.00066749,             0.00066749
                     43,                0.67237,                0.95958,                  1.078,                0.91842,                 0.8565,                0.94354,                0.82008,                0.50559,                  0.579,                0.92219,             0.00066495,             0.00066495,             0.00066495
                     44,                0.68323,                0.94269,                 1.0678,                0.87236,                0.86183,                 0.9345,                0.81146,                0.49531,                0.62862,                0.92108,             0.00066242,             0.00066242,             0.00066242
                     45,                0.66685,                0.96828,                 1.0655,                0.88793,                0.86348,                0.93961,                0.83293,                 0.4689,                0.58449,                0.90163,             0.00065988,             0.00065988,             0.00065988
                     46,                0.66865,                0.93165,                 1.0766,                0.89641,                0.87036,                0.93803,                0.82373,                0.48259,                0.58157,                0.91523,             0.00065734,             0.00065734,             0.00065734
                     47,                0.67066,                0.94936,                  1.065,                0.92982,                0.87676,                0.95653,                0.83924,                0.49851,                0.53343,                0.91119,              0.0006548,              0.0006548,              0.0006548
                     48,                0.66036,                0.91649,                 1.0691,                0.91872,                0.89131,                0.95367,                0.84477,                0.47928,                0.51668,                0.90516,             0.00065227,             0.00065227,             0.00065227
                     49,                0.68387,                0.94655,                 1.0782,                0.92428,                0.89127,                0.96016,                0.85479,                0.45781,                0.50765,                0.88998,             0.00064973,             0.00064973,             0.00064973
                     50,                0.64255,                0.90155,                 1.0509,                0.94037,                0.90285,                0.96055,                0.85442,                0.45792,                0.50145,                0.88734,             0.00064719,             0.00064719,             0.00064719
                     51,                0.64724,                0.89819,                 1.0685,                0.94428,                0.88367,                0.96075,                0.85622,                0.44107,                0.49834,                0.88169,             0.00064465,             0.00064465,             0.00064465
                     52,                0.64867,                0.87766,                 1.0619,                0.93166,                0.89843,                0.95973,                0.84965,                 0.4697,                0.50375,                0.90038,             0.00064212,             0.00064212,             0.00064212
                     53,                 0.6492,                0.83579,                 1.0545,                0.94986,                0.89886,                0.96515,                0.85821,                0.45288,                0.48095,                0.88561,             0.00063958,             0.00063958,             0.00063958
                     54,                0.64656,                 0.8622,                 1.0645,                0.93985,                0.91109,                0.96816,                0.86116,                0.45837,                0.48088,                0.88962,             0.00063704,             0.00063704,             0.00063704
                     55,                0.65784,                0.87391,                 1.0679,                0.93662,                0.90027,                 0.9649,                0.86425,                0.43512,                0.49886,                 0.8852,              0.0006345,              0.0006345,              0.0006345
                     56,                0.63799,                0.88024,                 1.0573,                0.94729,                0.89065,                0.96181,                0.85854,                0.45251,                0.47858,                0.88459,             0.00063196,             0.00063196,             0.00063196
                     57,                0.63558,                0.82564,                 1.0522,                0.95698,                0.92179,                 0.9733,                0.87289,                 0.4403,                0.43673,                0.88182,             0.00062943,             0.00062943,             0.00062943
                     58,                0.61637,                0.80943,                 1.0406,                0.93365,                0.93402,                0.97346,                0.87909,                0.42988,                0.43853,                0.87305,             0.00062689,             0.00062689,             0.00062689
                     59,                0.61162,                0.81819,                 1.0413,                0.95521,                0.92654,                0.97536,                0.87574,                0.42717,                0.42688,                0.87082,             0.00062435,             0.00062435,             0.00062435
                     60,                0.63524,                0.82526,                 1.0537,                 0.9351,                0.91562,                0.96973,                0.87664,                0.42934,                0.44918,                0.87612,             0.00062181,             0.00062181,             0.00062181
                     61,                0.62504,                0.80335,                 1.0486,                0.95943,                0.92329,                0.97235,                0.87332,                0.43841,                 0.4427,                0.87897,             0.00061928,             0.00061928,             0.00061928
                     62,                0.64363,                0.81406,                 1.0551,                0.96439,                0.94598,                0.97989,                0.88177,                0.44343,                0.40478,                0.86833,             0.00061674,             0.00061674,             0.00061674
                     63,                0.60185,                0.75687,                 1.0308,                0.95095,                0.93378,                0.97761,                0.88273,                0.42182,                0.40874,                0.86811,              0.0006142,              0.0006142,              0.0006142
                     64,                0.60525,                0.74116,                 1.0394,                0.95104,                0.93806,                 0.9755,                0.87611,                0.43094,                0.41344,                0.88188,             0.00061166,             0.00061166,             0.00061166
                     65,                0.61996,                0.75149,                 1.0443,                0.96457,                 0.9427,                0.98066,                0.88752,                0.42883,                0.39891,                0.87992,             0.00060912,             0.00060912,             0.00060912
                     66,                0.61908,                0.75314,                 1.0412,                0.97027,                0.92798,                0.98037,                0.88662,                0.41934,                0.39568,                0.87691,             0.00060659,             0.00060659,             0.00060659
                     67,                0.59911,                0.71762,                 1.0382,                0.97147,                 0.9467,                0.98378,                0.89644,                 0.4125,                0.37073,                0.85526,             0.00060405,             0.00060405,             0.00060405
                     68,                0.58973,                0.70987,                 1.0213,                0.95662,                0.94256,                0.97741,                0.87581,                 0.4396,                0.39295,                0.86871,             0.00060151,             0.00060151,             0.00060151
                     69,                0.59442,                 0.7439,                 1.0307,                0.97246,                0.95166,                0.98419,                0.90211,                0.39896,                0.35767,                0.85631,             0.00059897,             0.00059897,             0.00059897
